epoch,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
3,,1044,0.01887843757867813,,,,,,,,
,1.731023102310231e-08,1049,,,,,,,,,
3,,1049,0.11252488195896149,,,,,,,,
,1.739273927392739e-08,1054,,,,,,,,,
3,,1054,0.12050063908100128,,,,,,,,
,1.7475247524752477e-08,1059,,,,,,,,,
3,,1059,0.10091591626405716,,,,,,,,
,1.7557755775577558e-08,1064,,,,,,,,,
3,,1064,0.08510176092386246,,,,,,,,
,1.7640264026402638e-08,1069,,,,,,,,,
3,,1069,0.13664817810058594,,,,,,,,
,1.772277227722772e-08,1074,,,,,,,,,
3,,1074,0.09464038163423538,,,,,,,,
,1.7805280528052806e-08,1079,,,,,,,,,
3,,1079,0.07104608416557312,,,,,,,,
,1.7887788778877887e-08,1084,,,,,,,,,
3,,1084,0.07956410944461823,,,,,,,,
,1.7970297029702967e-08,1089,,,,,,,,,
3,,1089,0.09798643738031387,,,,,,,,
,1.8052805280528055e-08,1094,,,,,,,,,
3,,1094,0.08249711990356445,,,,,,,,
,1.8135313531353135e-08,1099,,,,,,,,,
3,,1099,0.09645852446556091,,,,,,,,
,1.8217821782178216e-08,1104,,,,,,,,,
3,,1104,0.08145581930875778,,,,,,,,
,1.83003300330033e-08,1109,,,,,,,,,
3,,1109,0.050342559814453125,,,,,,,,
,1.8382838283828384e-08,1114,,,,,,,,,
3,,1114,0.09279885143041611,,,,,,,,
,1.8465346534653464e-08,1119,,,,,,,,,
3,,1119,0.0912298932671547,,,,,,,,
,1.8547854785478548e-08,1124,,,,,,,,,
3,,1124,0.07805639505386353,,,,,,,,
,1.863036303630363e-08,1129,,,,,,,,,
3,,1129,0.08810938149690628,,,,,,,,
,1.8712871287128713e-08,1134,,,,,,,,,
3,,1134,0.10752685368061066,,,,,,,,
,1.8795379537953797e-08,1139,,,,,,,,,
3,,1139,0.08777543902397156,,,,,,,,
,1.8877887788778877e-08,1144,,,,,,,,,
3,,1144,0.10068933665752411,,,,,,,,
,1.8960396039603958e-08,1149,,,,,,,,,
3,,1149,0.09933753311634064,,,,,,,,
,1.9042904290429042e-08,1154,,,,,,,,,
3,,1154,0.017757147550582886,,,,,,,,
,1.9125412541254126e-08,1159,,,,,,,,,
3,,1159,0.07164767384529114,,,,,,,,
,1.9207920792079207e-08,1164,,,,,,,,,
3,,1164,0.030262256041169167,,,,,,,,
,1.9290429042904287e-08,1169,,,,,,,,,
3,,1169,0.1202281266450882,,,,,,,,
,1.9372937293729374e-08,1174,,,,,,,,,
3,,1174,0.12441843003034592,,,,,,,,
,1.9455445544554455e-08,1179,,,,,,,,,
3,,1179,0.10188772529363632,,,,,,,,
,1.9537953795379536e-08,1184,,,,,,,,,
3,,1184,0.07185253500938416,,,,,,,,
,1.962046204620462e-08,1189,,,,,,,,,
3,,1189,0.13972420990467072,,,,,,,,
,1.9702970297029704e-08,1194,,,,,,,,,
3,,1194,0.06571409106254578,,,,,,,,
,1.9785478547854784e-08,1199,,,,,,,,,
3,,1199,0.06637779623270035,,,,,,,,
,1.9867986798679868e-08,1204,,,,,,,,,
3,,1204,0.07165069133043289,,,,,,,,
,1.995049504950495e-08,1209,,,,,,,,,
3,,1209,0.0516364760696888,,,,,,,,
3,,1211,,0.5,0.48051947355270386,0.0841628685593605,0.0841628685593605,-0.047412317246198654,0.578125,0.41111111640930176,-0.013774989172816277
,2.0033003300330033e-08,1214,,,,,,,,,
4,,1214,0.06056826934218407,,,,,,,,
,2.0115511551155117e-08,1219,,,,,,,,,
4,,1219,0.09852395951747894,,,,,,,,
,2.0198019801980197e-08,1224,,,,,,,,,
4,,1224,0.05188358202576637,,,,,,,,
,2.0280528052805278e-08,1229,,,,,,,,,
4,,1229,0.03601239621639252,,,,,,,,
,2.0363036303630362e-08,1234,,,,,,,,,
4,,1234,0.14290393888950348,,,,,,,,
,2.0445544554455446e-08,1239,,,,,,,,,
4,,1239,0.07699178904294968,,,,,,,,
,2.0528052805280526e-08,1244,,,,,,,,,
